x,y,ux,uy,velocity_magnitude
2,35,0.394687,0.000000,0.394687
2,36,0.393043,-0.000000,0.393043
2,37,0.390954,0.000000,0.390954
2,38,0.388398,-0.000000,0.388398
2,39,0.385348,0.000000,0.385348
2,40,0.381771,-0.000000,0.381771
2,41,0.377632,0.000000,0.377632
2,42,0.372889,-0.000000,0.372889
2,43,0.367499,0.000000,0.367499
2,44,0.361411,-0.000000,0.361411
2,45,0.354571,0.000000,0.354571
2,46,0.346921,-0.000000,0.346921
2,47,0.338399,0.000000,0.338399
2,48,0.328937,-0.000000,0.328937
2,49,0.318464,0.000000,0.318464
2,50,0.306907,-0.000000,0.306907
2,51,0.294185,0.000000,0.294185
2,52,0.280216,-0.000000,0.280216
2,53,0.264914,0.000000,0.264914
2,54,0.248191,-0.000000,0.248191
2,55,0.229952,0.000000,0.229952
2,56,0.210103,-0.000000,0.210103
2,57,0.188546,0.000000,0.188546
2,58,0.165179,-0.000000,0.165179
2,59,0.139901,0.000000,0.139901
2,60,0.112608,-0.000000,0.112608
2,61,0.083192,0.000000,0.083192
2,62,0.051546,-0.000000,0.051546
2,63,0.017564,0.000000,0.017564
3,0,0.017564,-0.000000,0.017564
3,1,0.051546,0.000000,0.051546
3,2,0.083192,-0.000000,0.083192
3,3,0.112608,0.000000,0.112608
3,4,0.139901,-0.000000,0.139901
3,5,0.165179,0.000000,0.165179
3,6,0.188546,-0.000000,0.188546
3,7,0.210103,0.000000,0.210103
3,8,0.229952,-0.000000,0.229952
3,9,0.248191,0.000000,0.248191
3,10,0.264914,-0.000000,0.264914
3,11,0.280216,0.000000,0.280216
3,12,0.294185,-0.000000,0.294185
3,13,0.306907,0.000000,0.306907
3,14,0.318464,-0.000000,0.318464
3,15,0.328937,0.000000,0.328937
3,16,0.338399,-0.000000,0.338399
3,17,0.346921,0.000000,0.346921
3,18,0.354571,-0.000000,0.354571
3,19,0.361411,0.000000,0.361411
3,20,0.367499,-0.000000,0.367499
3,21,0.372889,0.000000,0.372889
3,22,0.377632,-0.000000,0.377632
3,23,0.381771,0.000000,0.381771
3,24,0.385348,-0.000000,0.385348
3,25,0.388398,0.000000,0.388398
3,26,0.390954,-0.000000,0.390954
3,27,0.393043,0.000000,0.393043
3,28,0.394687,-0.000000,0.394687
3,29,0.395904,0.000000,0.395904
3,30,0.396708,-0.000000,0.396708
3,31,0.397107,0.000000,0.397107
3,32,0.397107,-0.000000,0.397107
3,33,0.396708,0.000000,0.396708
3,34,0.395904,-0.000000,0.395904
3,35,0.394687,0.000000,0.394687
3,36,0.393043,-0.000000,0.393043
3,37,0.390954,0.000000,0.390954
3,38,0.388398,-0.000000,0.388398
3,39,0.385348,0.000000,0.385348
3,40,0.381771,-0.000000,0.381771
3,41,0.377632,0.000000,0.377632
3,42,0.372889,-0.000000,0.372889
3,43,0.367499,0.000000,0.367499
3,44,0.361411,-0.000000,0.361411
3,45,0.354571,0.000000,0.354571
3,46,0.346921,-0.000000,0.346921
3,47,0.338399,0.000000,0.338399
3,48,0.328937,-0.000000,0.328937
3,49,0.318464,0.000000,0.318464
3,50,0.306907,-0.000000,0.306907
3,51,0.294185,0.000000,0.294185
3,52,0.280216,-0.000000,0.280216
3,53,0.264914,0.000000,0.264914
3,54,0.248191,-0.000000,0.248191
3,55,0.229952,0.000000,0.229952
3,56,0.210103,-0.000000,0.210103
3,57,0.188546,0.000000,0.188546
3,58,0.165179,-0.000000,0.165179
3,59,0.139901,0.000000,0.139901
3,60,0.112608,-0.000000,0.112608
3,61,0.083192,0.000000,0.083192
3,62,0.051546,-0.000000,0.051546
3,63,0.017564,0.000000,0.017564
4,0,0.017564,-0.000000,0.017564
4,1,0.051546,0.000000,0.051546
4,2,0.083192,-0.000000,0.083192
4,3,0.112608,0.000000,0.112608
4,4,0.139901,-0.000000,0.139901
4,5,0.165179,0.000000,0.165179
4,6,0.188546,-0.000000,0.188546
4,7,0.210103,0.000000,0.210103
4,8,0.229952,-0.000000,0.229952
4,9,0.248191,0.000000,0.248191
4,10,0.264914,-0.000000,0.264914
