parameter,value,analytical_value,error
nx,256,
ny,64,
tau,0.6,
nu,0.0333333,
force_x,5e-05,
num_timesteps,5000,
max_velocity,0.397107,0.768000,-0.370893
avg_velocity,0.290114,0.512000,-0.221886
flow_rate,18.567294,
reynolds_number,557.018816,
rmse_from_theory,0.231256,
