x,y,ux,uy,velocity_magnitude
2,44,0.01182895,0.00000000,0.01182895
2,45,0.00958451,0.00000000,0.00958451
2,46,0.00728184,0.00000000,0.00728184
2,47,0.00492049,0.00000000,0.00492049
2,48,0.00250002,0.00000000,0.00250002
2,49,0.00002000,0.00000000,0.00002000
3,0,0.05863487,0.00000000,0.05863487
3,1,0.05861176,0.00000000,0.05861176
3,2,0.05854243,0.00000000,0.05854243
3,3,0.05842686,0.00000000,0.05842686
3,4,0.05826500,0.00000000,0.05826500
3,5,0.05805682,0.00000000,0.05805682
3,6,0.05780225,0.00000000,0.05780225
3,7,0.05750121,0.00000000,0.05750121
3,8,0.05715361,0.00000000,0.05715361
3,9,0.05675934,0.00000000,0.05675934
3,10,0.05631829,0.00000000,0.05631829
3,11,0.05583032,0.00000000,0.05583032
3,12,0.05529529,0.00000000,0.05529529
3,13,0.05471303,0.00000000,0.05471303
3,14,0.05408338,0.00000000,0.05408338
3,15,0.05340615,0.00000000,0.05340615
3,16,0.05268114,0.00000000,0.05268114
3,17,0.05190814,0.00000000,0.05190814
3,18,0.05108694,0.00000000,0.05108694
3,19,0.05021728,0.00000000,0.05021728
3,20,0.04929893,0.00000000,0.04929893
3,21,0.04833163,0.00000000,0.04833163
3,22,0.04731510,0.00000000,0.04731510
3,23,0.04624907,0.00000000,0.04624907
3,24,0.04513325,0.00000000,0.04513325
3,25,0.04396732,0.00000000,0.04396732
3,26,0.04275099,0.00000000,0.04275099
3,27,0.04148393,0.00000000,0.04148393
3,28,0.04016580,0.00000000,0.04016580
3,29,0.03879627,0.00000000,0.03879627
3,30,0.03737498,0.00000000,0.03737498
3,31,0.03590158,0.00000000,0.03590158
3,32,0.03437569,0.00000000,0.03437569
3,33,0.03279696,0.00000000,0.03279696
3,34,0.03116499,0.00000000,0.03116499
3,35,0.02947939,0.00000000,0.02947939
3,36,0.02773978,0.00000000,0.02773978
3,37,0.02594574,0.00000000,0.02594574
3,38,0.02409688,0.00000000,0.02409688
3,39,0.02219278,0.00000000,0.02219278
3,40,0.02023302,0.00000000,0.02023302
3,41,0.01821719,0.00000000,0.01821719
3,42,0.01614485,0.00000000,0.01614485
3,43,0.01401558,0.00000000,0.01401558
3,44,0.01182895,0.00000000,0.01182895
3,45,0.00958451,0.00000000,0.00958451
3,46,0.00728184,0.00000000,0.00728184
3,47,0.00492049,0.00000000,0.00492049
3,48,0.00250002,0.00000000,0.00250002
3,49,0.00002000,0.00000000,0.00002000
4,0,0.05863487,0.00000000,0.05863487
4,1,0.05861176,0.00000000,0.05861176
4,2,0.05854243,0.00000000,0.05854243
4,3,0.05842686,0.00000000,0.05842686
4,4,0.05826500,0.00000000,0.05826500
4,5,0.05805682,0.00000000,0.05805682
4,6,0.05780225,0.00000000,0.05780225
4,7,0.05750121,0.00000000,0.05750121
4,8,0.05715361,0.00000000,0.05715361
4,9,0.05675934,0.00000000,0.05675934
